y,x
1.215639198836612,-0.44589192457002714
0.8244372100654232,-0.017285594826558885
0.5935041004118999,0.24893784213023955
0.4262553501067408,0.4901799732486196
0.2624900308511379,0.6128823721090416
-0.1469203707746985,-0.4527573389106994
-0.372111254497352,-0.7642845742551539
0.029378452331049053,-0.12479020858230944
0.11739472500380416,0.020371509278382124
0.5489073529248045,0.3791659968759146
0.6992732222911806,0.6005798274140325
0.8903368385510345,0.8180903442006978
0.7520978200237137,0.9831008912781116
0.21517610000683268,0.19528641079324987
0.3919632269727322,0.14363992850062558
-0.18570892504783247,-0.303754898314491
0.3322116013173166,0.4819626468863169
0.1465689513989275,0.2988375819237944
0.015704852728571736,-0.06377442735262084
0.924215087581756,0.9790025118502113
